endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
45836000,ITAMARAJU,BA,NORDESTE,SUL BAIANO
79094600,CAMPO GRANDE,MS,CENTRO-OESTE,CENTRO NORTE DE MATO GROSSO DO SUL
08280340,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
01238001,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
18280210,TATUI,SP,SUDESTE,ITAPETININGA
29108330,VILA VELHA,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
74075100,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
70390150,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
65032250,SAO LUIS,MA,NORDESTE,NORTE MARANHENSE
83327070,PINHAIS,PR,SUL,METROPOLITANA DE CURITIBA
80045140,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
88134572,PALHOCA,SC,SUL,GRANDE FLORIANOPOLIS
37280000,CANDEIAS,MG,SUDESTE,OESTE DE MINAS
02310100,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
12910610,BRAGANCA PAULISTA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
46400000,CAETITE,BA,NORDESTE,CENTRO SUL BAIANO
79556970,PARAISO DAS AGUAS,MS,CENTRO-OESTE,LESTE DE MATO GROSSO DO SUL
03275140,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
88303230,ITAJAI,SC,SUL,VALE DO ITAJAI
04041002,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
47806006,BARREIRAS,BA,NORDESTE,EXTREMO OESTE BAIANO
75053020,ANAPOLIS,GO,CENTRO-OESTE,CENTRO GOIANO
36401385,CONSELHEIRO LAFAIETE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
65057470,SAO LUIS,MA,NORDESTE,NORTE MARANHENSE
88117311,SAO JOSE,SC,SUL,GRANDE FLORIANOPOLIS
29620000,ITARANA,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
65074740,SAO LUIS,MA,NORDESTE,NORTE MARANHENSE
94965010,CACHOEIRINHA,RS,SUL,METROPOLITANA DE PORTO ALEGRE
32010380,CONTAGEM,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
02985050,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
15015780,SAO JOSE DO RIO PRETO,SP,SUDESTE,SAO JOSE DO RIO PRETO
13083370,CAMPINAS,SP,SUDESTE,CAMPINAS
